Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 9.459963002041816, (Class: 3.0), 13.269781460144701, (Class: 3.0),
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 5.9715827047776875, (Class: 3.0), 8.255325553847044, (Class: 3.0), 
Original: 2.0, Predicted: 3.0, 0.0, (Class: 2.0), 7.6317953326854875, (Class: 3.0), 11.20821573668173, (Class: 3.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 7.994904627323581, (Class: 3.0), 12.768903633436976, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 6.368453501439734, (Class: 1.0), 15.419208799416396, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 4.982549548173103, (Class: 2.0), 22.449939866289174, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 4.003723267160207, (Class: 2.0), 12.520642954736788, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 10.807104144959464, (Class: 3.0), 17.72868015392009, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 12.68220406711704, (Class: 3.0), 12.756939288089443, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 12.296991501989421, (Class: 1.0), 13.16761937481487, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 11.83614802205515, (Class: 2.0), 13.835768861902832, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 13.10595666099961, (Class: 2.0), 21.529788665939105, (Class: 2.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 14.291752866601072, (Class: 2.0), 15.120201718231144, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 9.52865677837123, (Class: 1.0), 15.096850664956582, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 14.288883791255355, (Class: 2.0), 14.392595318426764, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 22.682186843424073, (Class: 1.0), 24.588312264163232, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 13.16761937481487, (Class: 1.0), 18.989081073079866, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 9.629325002304158, (Class: 3.0), 9.786199466595804, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 9.227968357119567, (Class: 2.0), 17.072823433749907, (Class: 3.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 8.255767680839861, (Class: 2.0), 12.87873440987118, (Class: 2.0), 
Original: 2.0, Predicted: 1.0, 0.0, (Class: 2.0), 13.673477977456942, (Class: 1.0), 24.398903663894412, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 6.176155762284498, (Class: 1.0), 12.3563465474225, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 12.38165982411082, (Class: 2.0), 22.449939866289174, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 11.292160997789574, (Class: 1.0), 15.419208799416396, (Class: 1.0), 
Original: 3.0, Predicted: 2.0, 0.0, (Class: 3.0), 8.100290118261197, (Class: 2.0), 10.534941860304688, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 8.989949944243294, (Class: 2.0), 12.16251618703959, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 35.41838505635174, (Class: 2.0), 37.4909175667921, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 10.32989351348793, (Class: 2.0), 12.16447697190471, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 5.298679080676616, (Class: 1.0), 10.344674958644182, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 6.23935092778087, (Class: 1.0), 10.344674958644182, (Class: 1.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 5.298679080676616, (Class: 1.0), 6.23935092778087, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 17.186253227507155, (Class: 3.0), 18.48602001513576, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 17.72868015392009, (Class: 2.0), 20.776525214770633, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 6.481936439058933, (Class: 1.0), 24.588312264163232, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 54.392772497823636, (Class: 2.0), 55.251996344023624, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 8.255325553847044, (Class: 3.0), 11.12997753816242, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 11.44644486292578, (Class: 2.0), 12.16251618703959, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 31.159417517020433, (Class: 1.0), 37.65407016512292, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 7.994904627323581, (Class: 3.0), 11.43025808982457, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 4.469608483972617, (Class: 2.0), 4.613263486947175, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 10.39280520360119, (Class: 1.0), 24.760232228313207, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 5.9715827047776875, (Class: 3.0), 7.525144516884708, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 14.419587372737126, (Class: 2.0), 18.561926085403957, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 11.835598844165006, (Class: 2.0), 13.10595666099961, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 6.176155762284498, (Class: 1.0), 7.690955727346244, (Class: 2.0), 
Original: 2.0, Predicted: 3.0, 0.0, (Class: 2.0), 13.679320158545892, (Class: 3.0), 34.88484771358476, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 8.718715501723864, (Class: 1.0), 29.780233377191657, (Class: 2.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 17.51458535050145, (Class: 1.0), 29.407196398160774, (Class: 1.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 9.282634324371504, (Class: 2.0), 11.207327959866259, (Class: 2.0), 
Original: 1.0, Predicted: 3.0, 0.0, (Class: 1.0), 11.140767478051051, (Class: 3.0), 13.516648993001187, (Class: 3.0), 
Original: 1.0, Predicted: 1.0, 0.0, (Class: 1.0), 6.368453501439734, (Class: 1.0), 20.94652715845756, (Class: 1.0), 
Original: 3.0, Predicted: 3.0, 0.0, (Class: 3.0), 4.784934691299349, (Class: 3.0), 11.156451048608602, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 8.260865572081414, (Class: 3.0), 11.83614802205515, (Class: 2.0), 
Original: 2.0, Predicted: 2.0, 0.0, (Class: 2.0), 11.207327959866259, (Class: 2.0), 14.401722119246712, (Class: 2.0), 
Original: 2.0, Predicted: 3.0, 0.0, (Class: 2.0), 7.525144516884708, (Class: 3.0), 8.993636639313376, (Class: 3.0), 
